"Source:","C:\Users\masal\OneDrive\Desktop\Design Projext\Source Code\Source Code\PCB\main\power.kicad_sch"
"Date:","2022/03/21 01:35:44"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","22"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10nF","C","Capacitor_SMD:C_0201_0603Metric","Unpolarized capacitor",""
"C2, ","1","10u","C_Small","Capacitor_SMD:C_0201_0603Metric","Unpolarized capacitor, small symbol",""
"D1, D3, D4, ","3","LED_Small","LED_Small","LED_SMD:LED-APA102-2020","Light emitting diode, small symbol",""
"D2, ","1","D_Zener","D_Zener","Diode_SMD:D_0201_0603Metric","Zener diode",""
"J5, ","1","USB_B_Micro","USB_B_Micro","Connector_USB:USB3_A_Molex_48393-001","USB Micro Type B connector",""
"M1, M2, ","2","MPMOS","MPMOS","Package_DirectFET:DirectFET_L4","P-channel MOSFET symbol for simulation only",""
"R1, R2, R3, R4, R6, R7, R8, ","7","1K","R_Small","Resistor_SMD:R_0201_0603Metric","Resistor, small symbol",""
"R5, ","1","100","R_Small","Resistor_SMD:R_0201_0603Metric","Resistor, small symbol",""
"U1, ","1","MC34673","MC34673","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm","High Input Voltage 1.2A Charger for Single-cell Li-Ion Batteries, UDFN-8",""
"U2, ","1","ADG417BN","ADG417BN","Package_DIP:DIP-8_W7.62mm","Single SPST Monolithic LCÂ²MOS Analog Switch, normally OFF, 25Ohm Ron, DIP-8",""
"U3, ","1","HT75xx-1-SOT89","HT75xx-1-SOT89","Package_TO_SOT_SMD:SOT-89-3","100mA Low Dropout Voltage Regulator, Fixed Output, SOT89",""
"U4, ","1","FT232RL","FT232RL","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","USB to Serial Interface, SSOP-28",""
"U5, ","1","TLV172IDCK","TLV172IDCK","Package_TO_SOT_SMD:SOT-353_SC-70-5","Low-power Operational Amplifier, SOT-353",""
